# lunarne efemeride 1995-2000
# datum RA[h] Dec[stopinje]
NOV10 5.09375 18.77061
NOV11 5.93194 18.77761
NOV12 6.76083 17.95825
NOV13 7.57739 16.36342
NOV14 8.38161 14.06508
NOV15 9.17661 11.14817
NOV16 9.96867 7.70750
NOV17 10.76650 3.85031
NOV18 11.58075 -0.29478
NOV19 12.42322 -4.56456
NOV20 13.30533 -8.74733
NOV21 14.23603 -12.57594
NOV22 15.21844 -15.73919
NOV23 16.24611 -17.92292
NOV24 17.30153 -18.87953
NOV25 18.35903 -18.49967
NOV26 19.39264 -16.84486
NOV27 20.38397 -14.11964
NOV28 21.32592 -10.60436
NOV29 22.22122 -6.59028
NOV30 23.07889 -2.34089
DEC1 23.91047 1.91942
DEC2 0.72775 6.00106
DEC3 1.54097 9.74031
DEC4 2.35783 12.99217
DEC5 3.18267 15.62892
DEC6 4.01617 17.54394
DEC7 4.85544 18.65983
DEC8 5.69497 18.93650
DEC9 6.52836 18.37536
DEC10 7.35011 17.01722
DEC11 8.15731 14.93400
DEC12 8.95047 12.21794
DEC13 9.73364 8.97244
DEC14 10.51408 5.30761
DEC15 11.30164 1.34206
DEC16 12.10814 -2.78914
DEC17 12.94647 -6.92117
DEC18 13.82925 -10.84519
DEC19 14.76611 -14.29989
DEC20 15.76000 -16.98153
DEC21 16.80311 -18.58672
DEC22 17.87511 -18.88786
DEC23 18.94736 -17.81233
DEC24 19.99208 -15.47533
DEC25 20.99078 -12.14183
DEC26 21.93742 -8.14525
DEC27 22.83608 -3.81233
DEC28 23.69672 0.57803
DEC29 0.53142 4.80369
DEC30 1.35192 8.69058
DEC31 2.16808 12.09892
JAN1 2.98703 14.91261
JAN2 3.81247 17.03439
JAN3 4.64456 18.38767
JAN4 5.48017 18.92272
JAN5 6.31403 18.62347
JAN6 7.14039 17.51167
JAN7 7.95467 15.64522
JAN8 8.75489 13.11172
JAN9 9.54228 10.01894
JAN10 10.32139 6.48697
JAN11 11.09961 2.64336
JAN12 11.88667 -1.37600
JAN13 12.69400 -5.42125
JAN14 13.53378 -9.31883
JAN15 14.41750 -12.86119
JAN16 15.35336 -15.80283
JAN17 16.34283 -17.87294
JAN18 17.37728 -18.81575
JAN19 18.43728 -18.45683
JAN20 19.49697 -16.76953
JAN21 20.53192 -13.90067
JAN22 21.52633 -10.13511
JAN23 22.47508 -5.82167
JAN24 23.38175 -1.30131
JAN25 0.25481 3.13617
JAN26 1.10444 7.26469
JAN27 1.94039 10.91567
JAN28 2.77053 13.96456
JAN29 3.60022 16.31886
JAN30 4.43189 17.91106
JAN31 5.26508 18.69700
FEB1 6.09714 18.65822
FEB2 6.92425 17.80514
FEB3 7.74269 16.17922
FEB4 8.55017 13.85181
FEB5 9.34664 10.92036
FEB6 10.13461 7.50308
FEB7 10.91919 3.73389
FEB8 11.70761 -0.24075
FEB9 12.50875 -4.26222
FEB10 13.33247 -8.15769
FEB11 14.18842 -11.73633
FEB12 15.08461 -14.78758
FEB13 16.02506 -17.08633
FEB14 17.00728 -18.41247
FEB15 18.02097 -18.58769
FEB16 19.04903 -17.52322
FEB17 20.07181 -15.25811
FEB18 21.07283 -11.96636
FEB19 22.04242 -7.92633
FEB20 22.97836 -3.46694
FEB21 23.88403 1.08600
FEB22 0.76586 5.44750
FEB23 1.63092 9.39047
FEB24 2.48536 12.74692
FEB25 3.33369 15.40039
FEB26 4.17814 17.27633
FEB27 5.01894 18.33392
FEB28 5.85478 18.56086
FEB29 6.68356 17.97033
MAR1 7.50342 16.59936
MAR2 8.31344 14.50769
MAR3 9.11444 11.77694
MAR4 9.90914 8.51003
MAR5 10.70203 4.83075
MAR6 11.49933 0.88383
MAR7 12.30839 -3.16536
MAR8 13.13714 -7.13183
MAR9 13.99308 -10.81317
MAR10 14.88203 -13.99497
MAR11 15.80642 -16.46139
MAR12 16.76381 -18.01364
MAR13 17.74600 -18.49617
MAR14 18.74019 -17.82656
MAR15 19.73194 -16.01825
MAR16 20.70886 -13.18675
MAR17 21.66342 -9.53631
MAR18 22.59353 -5.33194
MAR19 23.50156 -0.86611
MAR20 0.39231 3.57247
MAR21 1.27117 7.72369
MAR22 2.14256 11.37222
MAR23 3.00917 14.35517
MAR24 3.87142 16.56289
MAR25 4.72786 17.93511
MAR26 5.57597 18.45381
MAR27 6.41308 18.13514
MAR28 7.23744 17.02131
MAR29 8.04900 15.17358
MAR30 8.84958 12.66819
MAR31 9.64319 9.59508
APR1 10.43553 6.06008
APR2 11.23364 2.18939
APR3 12.04561 -1.86506
APR4 12.87958 -5.92128
APR5 13.74297 -9.76739
APR6 14.64083 -13.16858
APR7 15.57425 -15.88417
APR8 16.53875 -17.69494
APR9 17.52394 -18.43692
APR10 18.51547 -18.03142
APR11 19.49844 -16.50000
APR12 20.46144 -13.95853
APR13 21.39881 -10.59458
APR14 22.31061 -6.64028
APR15 23.20133 -2.34822
APR16 0.07753 2.02589
APR17 0.94614 6.23678
APR18 1.81264 10.06122
APR19 2.68014 13.30917
APR20 3.54872 15.83369
APR21 4.41564 17.53778
APR22 5.27625 18.37614
APR23 6.12550 18.35089
APR24 6.95947 17.50222
APR25 7.77650 15.89650
APR26 8.57783 13.61556
APR27 9.36750 10.74983
APR28 10.15194 7.39683
APR29 10.93953 3.66497
APR30 11.73986 -0.31861
MAY1 12.56308 -4.39789
MAY2 13.41894 -8.37906
MAY3 14.31497 -12.02819
MAY4 15.25433 -15.08192
MAY5 16.23347 -17.27661
MAY6 17.24067 -18.39497
MAY7 18.25778 -18.31533
MAY8 19.26494 -17.04136
MAY9 20.24622 -14.69633
MAY10 21.19325 -11.48733
MAY11 22.10575 -7.66142
MAY12 22.98922 -3.47186
MAY13 23.85242 0.83953
MAY14 0.70478 5.04858
MAY15 1.55461 8.95017
MAY16 2.40769 12.36044
MAY17 3.26647 15.12275
MAY18 4.12956 17.11644
MAY19 4.99236 18.26583
MAY20 5.84844 18.54497
MAY21 6.69142 17.97561
MAY22 7.51678 16.61767
MAY23 8.32317 14.55622
MAY24 9.11269 11.88908
MAY25 9.89075 8.71869
MAY26 10.66539 5.15033
MAY27 11.44664 1.29650
MAY28 12.24589 -2.71356
MAY29 13.07508 -6.72136
MAY30 13.94531 -10.52714
MAY31 14.86467 -13.88522
JUN1 15.83519 -16.51650
JUN2 16.84972 -18.14728
JUN3 17.89097 -18.57136
JUN4 18.93492 -17.71231
JUN5 19.95808 -15.64978
JUN6 20.94439 -12.59375
JUN7 21.88800 -8.82464
JUN8 22.79192 -4.63494
JUN9 23.66472 -0.29344
JUN10 0.51714 3.96706
JUN11 1.35964 7.94778
JUN12 2.20078 11.47806
JUN13 3.04611 14.41172
JUN14 3.89731 16.62892
JUN15 4.75231 18.04219
JUN16 5.60586 18.60450
JUN17 6.45136 18.31381
JUN18 7.28258 17.21136
JUN19 8.09558 15.37322
JUN20 8.88975 12.89794
JUN21 9.66800 9.89489
JUN22 10.43639 6.47672
JUN23 11.20364 2.75758
JUN24 11.98044 -1.14275
JUN25 12.77878 -5.08958
JUN26 13.61117 -8.92092
JUN27 14.48911 -12.43558
JUN28 15.42056 -15.38875
JUN29 16.40658 -17.50628
JUN30 17.43794 -18.52753
JUL1 18.49475 -18.27386
JUL2 19.55100 -16.71400
JUL3 20.58267 -13.98611
JUL4 21.57461 -10.36014
JUL5 22.52247 -6.16608
JUL6 23.43056 -1.72797
JUL7 0.30792 2.67358
JUL8 1.16514 6.81133
JUL9 2.01197 10.50586
JUL10 2.85600 13.61572
JUL11 3.70150 16.03006
JUL12 4.54936 17.66686
JUL13 5.39708 18.47581
JUL14 6.23989 18.44253
JUL15 7.07231 17.59092
JUL16 7.88969 15.98072
JUL17 8.68978 13.70033
JUL18 9.47322 10.85733
JUL19 10.24378 7.56928
JUL20 11.00789 3.95819
JUL21 11.77419 0.14903
JUL22 12.55311 -3.72681
JUL23 13.35603 -7.52419
JUL24 14.19450 -11.07456
JUL25 15.07869 -14.17767
JUL26 16.01483 -16.60139
JUL27 17.00208 -18.09919
JUL28 18.03019 -18.45269
JUL29 19.07981 -17.53356
JUL30 20.12742 -15.35864
JUL31 21.15236 -12.10428
AUG1 22.14222 -8.06811
AUG2 23.09386 -3.60056
AUG3 0.01122 0.95936
AUG4 0.90189 5.32336
AUG5 1.77436 9.26639
AUG6 2.63600 12.62256
AUG7 3.49192 15.27453
AUG8 4.34450 17.14433
AUG9 5.19331 18.18789
AUG10 6.03589 18.39294
AUG11 6.86861 17.77858
AUG12 7.68819 16.39375
AUG13 8.49261 14.31411
AUG14 9.28194 11.63669
AUG15 10.05869 8.47439
AUG16 10.82764 4.95086
AUG17 11.59550 1.19756
AUG18 12.37058 -2.64686
AUG19 13.16222 -6.43442
AUG20 13.98017 -10.00394
AUG21 14.83347 -13.17661
