# lunarne efemeride 1995-2000
# datum RA[h] Dec[stopinje]
DEC9 17.85169 -20.35700
DEC10 18.69428 -20.93139
DEC11 19.54117 -20.57531
DEC12 20.38492 -19.29428
DEC13 21.22033 -17.13522
DEC14 22.04592 -14.17806
DEC15 22.86453 -10.52703
DEC16 23.68325 -6.30706
DEC17 0.51250 -1.66761
DEC18 1.36525 3.20542
DEC19 2.25539 8.07331
DEC20 3.19525 12.63172
DEC21 4.19158 16.51611
DEC22 5.24025 19.34319
DEC23 6.32258 20.79500
DEC24 7.40775 20.71700
DEC25 8.46264 19.17056
DEC26 9.46339 16.39961
DEC27 10.40069 12.73831
DEC28 11.27811 8.52164
DEC29 12.10678 4.03592
DEC30 12.90108 -0.49189
DEC31 13.67569 -4.88342
JAN1 14.44406 -8.99153
JAN2 15.21758 -12.68475
JAN3 16.00486 -15.83742
JAN4 16.81086 -18.32686
JAN5 17.63644 -20.03883
JAN6 18.47803 -20.87897
JAN7 19.32856 -20.78767
JAN8 20.17933 -19.75169
JAN9 21.02253 -17.80831
JAN10 21.85342 -15.03969
JAN11 22.67181 -11.56189
JAN12 23.48194 -7.51372
JAN13 0.29231 -3.05069
JAN14 1.11436 1.65319
JAN15 1.96172 6.39656
JAN16 2.84822 10.93797
JAN17 3.78547 14.98681
JAN18 4.77853 18.21169
JAN19 5.82117 20.28100
JAN20 6.89325 20.94006
JAN21 7.96450 20.09650
JAN22 9.00436 17.85983
JAN23 9.99217 14.50406
JAN24 10.92103 10.38014
JAN25 11.79533 5.83294
JAN26 12.62614 1.15494
JAN27 13.42717 -3.42447
JAN28 14.21211 -7.72867
JAN29 14.99342 -11.61664
JAN30 15.78136 -14.96711
JAN31 16.58325 -17.66836
FEB1 17.40269 -19.61525
FEB2 18.23925 -20.71431
FEB3 19.08850 -20.89494
FEB4 19.94317 -20.12308
FEB5 20.79533 -18.41200
FEB6 21.63856 -15.82558
FEB7 22.46989 -12.47378
FEB8 23.29061 -8.50256
FEB9 0.10614 -4.08367
FEB10 0.92531 0.59208
FEB11 1.75933 5.31611
FEB12 2.62044 9.85878
FEB13 3.51994 13.96489
FEB14 4.46539 17.35558
FEB15 5.45692 19.74656
FEB16 6.48419 20.89050
FEB17 7.52667 20.63817
FEB18 8.55878 18.99067
FEB19 9.55814 16.10956
FEB20 10.51161 12.27581
FEB21 11.41678 7.82242
FEB22 12.27911 3.07436
FEB23 13.10872 -1.68669
FEB24 13.91722 -6.23311
FEB25 14.71592 -10.38594
FEB26 15.51472 -14.00306
FEB27 16.32128 -16.96725
FEB28 17.14025 -19.17819
FEB29 17.97308 -20.55025
MAR1 18.81775 -21.01631
MAR2 19.66961 -20.53581
MAR3 20.52261 -19.10408
MAR4 21.37133 -16.75942
MAR5 22.21244 -13.58586
MAR6 23.04594 -9.71153
MAR7 23.87542 -5.30389
MAR8 0.70747 -0.56419
MAR9 1.55114 4.27833
MAR10 2.41636 8.97133
MAR11 3.31239 13.24539
MAR12 4.24536 16.82381
MAR13 5.21564 19.44147
MAR14 6.21544 20.87642
MAR15 7.22900 20.99031
MAR16 8.23633 19.76319
MAR17 9.21886 17.30303
MAR18 10.16467 13.82408
MAR19 11.07014 9.60458
MAR20 11.93864 4.94297
MAR21 12.77797 0.12508
MAR22 13.59781 -4.59472
MAR23 14.40794 -9.00050
MAR24 15.21697 -12.91422
MAR25 16.03142 -16.19133
MAR26 16.85525 -18.71603
MAR27 17.68956 -20.39822
MAR28 18.53258 -21.17336
MAR29 19.38056 -21.00442
MAR30 20.22881 -19.88478
MAR31 21.07333 -17.84097
APR1 21.91211 -14.93456
APR2 22.74592 -11.26383
APR3 23.57864 -6.96625
APR4 0.41692 -2.22131
APR5 1.26942 2.74736
APR6 2.14556 7.67333
APR7 3.05386 12.25597
APR8 3.99931 16.17906
APR9 4.98058 19.14217
APR10 5.98811 20.90308
APR11 7.00472 21.32111
APR12 8.00994 20.38408
APR13 8.98606 18.20486
APR14 9.92267 14.98906
APR15 10.81789 10.99222
APR16 11.67644 6.48394
APR17 12.50714 1.72564
APR18 13.32025 -3.04006
APR19 14.12594 -7.59319
APR20 14.93283 -11.73819
APR21 15.74728 -15.30508
APR22 16.57269 -18.15161
APR23 17.40922 -20.16619
APR24 18.25389 -21.27131
APR25 19.10175 -21.42575
APR26 19.94722 -20.62472
APR27 20.78594 -18.89683
APR28 21.61606 -16.29969
APR29 22.43903 -12.91672
APR30 23.25969 -8.85764
MAY1 0.08594 -4.26419
MAY2 0.92789 0.67997
MAY3 1.79683 5.73842
MAY4 2.70344 10.61667
MAY5 3.65508 14.97139
MAY6 4.65203 18.44292
MAY7 5.68431 20.71314
MAY8 6.73136 21.57522
MAY9 7.76719 20.98347
MAY10 8.76869 19.05422
MAY11 9.72217 16.01814
MAY12 10.62506 12.15600
MAY13 11.48328 7.74875
MAY14 12.30761 3.05369
MAY15 13.11053 -1.70036
MAY16 13.90419 -6.30831
MAY17 14.69917 -10.58306
MAY18 15.50347 -14.35256
MAY19 16.32169 -17.46158
MAY20 17.15456 -19.77803
MAY21 17.99878 -21.20200
MAY22 18.84811 -21.67428
MAY23 19.69500 -21.18058
MAY24 20.53289 -19.74900
MAY25 21.35808 -17.44197
MAY26 22.17086 -14.34633
MAY27 22.97558 -10.56650
MAY28 23.78036 -6.22419
MAY29 0.59619 -1.46600
MAY30 1.43622 3.52256
MAY31 2.31422 8.49997
JUN1 3.24228 13.15772
JUN2 4.22700 17.12822
JUN3 5.26439 20.02797
JUN4 6.33653 21.53917
JUN5 7.41361 21.50264
JUN6 8.46361 19.96719
JUN7 9.46319 17.15972
JUN8 10.40319 13.40081
JUN9 11.28689 9.02150
JUN10 12.12528 4.31606
JUN11 12.93250 -0.47019
JUN12 13.72292 -5.13333
JUN13 14.50953 -9.49717
JUN14 15.30278 -13.40181
JUN15 16.10975 -16.69861
JUN16 16.93347 -19.25197
JUN17 17.77233 -20.94836
JUN18 18.62056 -21.70853
JUN19 19.46978 -21.49864
JUN20 20.31133 -20.33419
JUN21 21.13886 -18.27511
JUN22 21.94994 -15.41419
JUN23 22.74686 -11.86436
JUN24 23.53611 -7.75075
JUN25 0.32789 -3.21019
JUN26 1.13511 1.60064
JUN27 1.97256 6.49017
JUN28 2.85519 11.21356
JUN29 3.79550 15.46053
JUN30 4.79864 18.86469
JUL1 5.85700 21.05333
JUL2 6.94717 21.74119
JUL3 8.03469 20.83047
JUL4 9.08611 18.45028
JUL5 10.08036 14.90422
JUL6 11.01214 10.56747
JUL7 11.88817 5.79892
JUL8 12.72156 0.89892
JUL9 13.52744 -3.89533
JUL10 14.32033 -8.39606
JUL11 15.11278 -12.44708
JUL12 15.91422 -15.91031
JUL13 16.73031 -18.65967
JUL14 17.56225 -20.58353
JUL15 18.40653 -21.59450
JUL16 19.25597 -21.64197
JUL17 20.10172 -20.72247
JUL18 20.93572 -18.88161
JUL19 21.75308 -16.20753
JUL20 22.55331 -12.81842
JUL21 23.34036 -8.85025
JUL22 0.12228 -4.44958
JUL23 0.91022 0.22661
JUL24 1.71767 5.00353
JUL25 2.55939 9.67531
JUL26 3.44950 13.99044
JUL27 4.39853 17.64514
JUL28 5.40836 20.29939
JUL29 6.46750 21.63203
JUL30 7.55017 21.43058
JUL31 8.62300 19.67514
AUG1 9.65683 16.55719
AUG2 10.63561 12.41761
AUG3 11.55744 7.64853
AUG4 12.43036 2.61489
AUG5 13.26733 -2.38250
AUG6 14.08244 -7.11003
AUG7 14.88867 -11.38758
AUG8 15.69667 -15.07131
AUG9 16.51383 -18.04047
AUG10 17.34358 -20.19194
AUG11 18.18500 -21.44242
AUG12 19.03331 -21.73686
AUG13 19.88119 -21.05842
AUG14 20.72097 -19.43497
AUG15 21.54686 -16.93894
AUG16 22.35650 -13.68047
AUG17 23.15172 -9.79756
AUG18 23.93817 -5.44692
AUG19 0.72472 -0.79881
AUG20 1.52281 3.96283
AUG21 2.34519 8.63517
AUG22 3.20483 12.98872
AUG23 4.11269 16.76128
AUG24 5.07422 19.66344
AUG25 6.08542 21.40644
AUG26 7.13053 21.75892
AUG27 8.18414 20.61725
AUG28 9.21914 18.05303
AUG29 10.21539 14.30408
AUG30 11.16425 9.71489
AUG31 12.06769 4.66117
SEP1 12.93433 -0.50819
SEP2 13.77569 -5.50022
SEP3 14.60347 -10.08317
SEP4 15.42775 -14.07828
SEP5 16.25592 -17.34783
SEP6 17.09200 -19.78553
SEP7 17.93636 -21.31214
SEP8 18.78586 -21.87669
SEP9 19.63500 -21.46086
SEP10 20.47761 -20.08308
SEP11 21.30867 -17.79994
SEP12 22.12586 -14.70414
SEP13 22.93025 -10.92006
SEP14 23.72631 -6.59911
SEP15 0.52150 -1.91628
SEP16 1.32550 2.93144
SEP17 2.14933 7.72500
SEP18 3.00406 12.22278
SEP19 3.89894 16.16250
SEP20 4.83886 19.27050
SEP21 5.82119 21.28500
SEP22 6.83406 21.99592
SEP23 7.85772 21.29350
SEP24 8.87006 19.20369
SEP25 9.85339 15.89044
SEP26 10.79867 11.62339
SEP27 11.70575 6.72867
SEP28 12.58094 1.54283
SEP29 13.43383 -3.61981
SEP30 14.27456 -8.48564
OCT1 15.11206 -12.82853
OCT2 15.95278 -16.46967
OCT3 16.79994 -19.27444
OCT4 17.65322 -21.14942
OCT5 18.50922 -22.04047
OCT6 19.36250 -21.93156
OCT7 20.20747 -20.84275
OCT8 21.03994 -18.82658
OCT9 21.85836 -15.96397
OCT10 22.66456 -12.36072
OCT11 23.46344 -8.14728
OCT12 0.26272 -3.48086
OCT13 1.07206 1.45003
OCT14 1.90225 6.42147
OCT15 2.76394 11.17342
OCT16 3.66567 15.41583
OCT17 4.61111 18.84672
OCT18 5.59617 21.18469
OCT19 6.60767 22.21469
OCT20 7.62528 21.83303
OCT21 8.62744 20.07108
OCT22 9.59786 17.08469
OCT23 10.52911 13.11681
OCT24 11.42258 8.45425
OCT25 12.28567 3.39492
OCT26 13.12872 -1.77208
OCT27 13.96264 -6.77708
OCT28 14.79692 -11.37647
OCT29 15.63825 -15.35861
OCT30 16.48969 -18.55006
OCT31 17.35011 -20.82197
NOV1 18.21461 -22.09522
NOV2 19.07600 -22.34183
NOV3 19.92689 -21.58103
NOV4 20.76189 -19.87003
NOV5 21.57906 -17.29272
NOV6 22.38039 -13.95025
NOV7 23.17161 -9.95708
NOV8 23.96144 -5.44411
NOV9 0.76092 -0.56742
NOV10 1.58247 4.47900
NOV11 2.43881 9.45133
NOV12 3.34075 14.05181
NOV13 4.29419 17.94106
NOV14 5.29606 20.77647
NOV15 6.33167 22.27597
NOV16 7.37636 22.28794
NOV17 8.40283 20.83081
NOV18 9.39017 18.07728
NOV19 10.32892 14.29633
NOV20 11.22078 9.79008
NOV21 12.07492 4.85236
NOV22 12.90400 -0.24708
NOV23 13.72131 -5.26300
NOV24 14.53878 -9.96992
NOV25 15.36556 -14.15997
NOV26 16.20681 -17.64592
NOV27 17.06275 -20.27086
NOV28 17.92872 -21.92106
NOV29 18.79614 -22.53753
NOV30 19.65503 -22.12022
DEC1 20.49694 -20.72150
DEC2 21.31717 -18.43136
DEC3 22.11583 -15.36050
DEC4 22.89772 -11.62781
DEC5 23.67144 -7.35625
DEC6 0.44858 -2.67756
DEC7 1.24297 2.25492
DEC8 2.06956 7.24817
DEC9 2.94311 12.05089
DEC10 3.87533 16.34414
DEC11 4.87019 19.75631
DEC12 5.91867 21.91878
DEC13 6.99658 22.55933
DEC14 8.07006 21.59356
DEC15 9.10747 19.15283
DEC16 10.08992 15.52881
DEC17 11.01378 11.07825
DEC18 11.88678 6.14647
DEC19 12.72264 1.03222
DEC20 13.53675 -4.01494
DEC21 14.34367 -8.78294
DEC22 15.15544 -13.08356
DEC23 15.98053 -16.74469
DEC24 16.82244 -19.61153
DEC25 17.67931 -21.55631
DEC26 18.54406 -22.49369
DEC27 19.40628 -22.39397
DEC28 20.25528 -21.28714
DEC29 21.08308 -19.25450
DEC30 21.88642 -16.41175
DEC31 22.66722 -12.89036
